Date_Time,City,State,Shape,Duration,Summary,Posted
11/30/2020 22:05,Salt Lake City,UT,Changing,30 minutes,"Last night I saw an orange star in the sky above downtown slc.  Then I noticed it had lightning type spider legs come out,and almost sh",12/23/2020
11/30/2020 20:27,Farmington Hills,MI,,,MADAR Node 144,12/23/2020
11/30/2020 19:00,Coast of Fort Lauderdale,FL,Disk,1 minute,Sun Colored Flying Saucer Seen Just Off Coast of Fort Lauderdale,12/23/2020
11/30/2020 18:30,Creswell,OR,Other,15 sec,"Two mega brilliant white lights in sky to the south, too big for aircraft. Not landing lights, or anything Iâ€™ve seen for 61 years. They",12/23/2020
11/30/2020 18:30,Creswell,OR,Other,15 sec,"Two mega brilliant white lights in sky to the south, too big for aircraft. Not landing lights, or anything Iâ€™ve seen for 61 years. They",12/23/2020
11/30/2020 18:20,Lahaina,AK,Circle,5-10 seconds,Circular pattern of lights.,12/23/2020
11/30/2020 15:00,Norwalk,CA,Sphere,1 hour,Moving shiney Blinking object in the sky.,12/23/2020
11/30/2020 12:55,SAN ANTONIO,TX,Other,2 minutes,"Watching for chemtrails clear skies, behold a fleet of bright craft.",12/23/2020
11/30/2020 12:00,Unknown,WY,Other,2 minutes,"Seen from plane, amazing shadow of craft in clear sky that is stationary and changes shape over 2 minutes",12/23/2020
11/30/2020 8:30,Pigeon Forge,TN,Triangle,5 minutes,pigeon Forge light spotting and Sky UFO,12/23/2020
11/30/2020 0:40,Huntsville,AL,Light,5-10 seconds,"Saw a teal light , thought it was lightening at first but the teal color was solid and stayed there for a few seconds and blinked a few",12/23/2020
11/30/2020 0:40,Huntsville,AL,Light,5-10 seconds,"Saw a teal light , thought it was lightening at first but the teal color was solid and stayed there for a few seconds and blinked a few",12/23/2020
11/30/2020 0:01,Lacey,WA,,,MADAR Node 50,12/23/2020
11/29/2020 21:51,Providence,RI,Circle,2 minutes,"November 29th 2020 9:50pm  I changed our names in my report for privacies sake  	I was laying in bed after walking my girlfriend to her",12/23/2020
11/29/2020 21:51,Providence,RI,Circle,2 minutes,"November 29th 2020 9:50pm  I changed our names in my report for privacies sake  	I was laying in bed after walking my girlfriend to her",12/23/2020
11/29/2020 21:09,miami,FL,Fireball,2 minutes,"I'm used to watch the sky specially at the high of my building, yet never seen a flying fireball with a perfect gps coordinates.",12/23/2020
11/29/2020 20:30,Windsor,ON,Unknown,5 minutes or less,Unknown fast moving / rapidly stopping light in night sky,12/23/2020
11/29/2020 19:14,Hanover,MD,,,MADAR Node 77,12/23/2020
11/29/2020 17:40,Delray Beach,FL,Oval,20 minutes,Round/oval/disc shaped black craft in the eastern sky up and left of the moon,12/23/2020
11/29/2020 15:45,North Port,FL,,,MADAR Node 147,12/23/2020
11/29/2020 13:00,Bensalem,PA,Other,30 seconds,"Tic-tac appears approx 200 feet above in Neshaminy State Park, noticed because light reflects off of it into my eyes. I tell my girlfri",12/23/2020
11/29/2020 2:00,Cambridge,OH,Rectangle,30 minutes,A stationary object was seen apparently hovering with red flashing lights and white stationary lights it did no move for a half hour,12/23/2020
11/29/2020 1:05,Astoria,OR,Circle,:03 seconds,"Round, white object traveled at rapid pace from South to North at 1:05am and looked to maybe fall in the Columbia River. Not like a typ",12/23/2020
11/29/2020 1:00,Brooksville,FL,Circle,15 seconds,1am exactly. Approximately 60ft from the ground. extremely bright white round shape approximately 20ft in diameter. Caught my attention,12/23/2020
11/28/2020 23:35,lenexa,KS,Changing,1.5 hours,Rainbow like flashing object that was stationary in the sky,12/23/2020
11/28/2020 21:30,Malverne,NY,Fireball,5 minutes,Bright orange object with no sound moving across sky then disappeared,12/23/2020
11/28/2020 19:20,Sanford,FL,,,MADAR Node 91,12/23/2020
11/28/2020 17:14,Ardmore,OK,Other,5 seconds,"The creature was tall, slender, dark humanoid.",12/23/2020
11/28/2020 17:00,Buchanan,MI,Fireball,1 minute,large arching fireworks; no sound; two large glowing circles formed an arch and then split and disappeared,12/23/2020
11/28/2020 13:00,Menifee,CA,Cigar,very short time-less than,I was taking a walk on November 28th in the early afternoon and noticed a cigar shaped object in the sky hovering/floating vertically i,12/23/2020
11/28/2020 7:30,North Wilmington,DE,Fireball,20 min,7 fireballs moving horizontally very slowly,12/23/2020
11/28/2020 6:13,Manchester,CT,,,MADAR Node 151,12/23/2020
11/28/2020 2:45,Albany,KY,Circle,"
",Odd light that changed directions.,12/23/2020
11/27/2020 23:02,Newton,WI,Oval,Seconds,Coming home from work I saw a reddish color orb move from east to west horizon to horizon then seconds later it moved from west to east,12/23/2020
11/27/2020 20:00,Manchester,CT,Sphere,30 seconds,Glowing blue ball of light moving horizontally across sky then suddenly dropping straight down quickly,12/23/2020
11/27/2020 18:04,Oak Harbor,WA,,,MADAR Node 58,12/23/2020
11/27/2020 16:00,Stockton,CA,Sphere,45 seconds,Driving down the road with my wife and I spotted a silver sphere ahead of us. I pulled out my phone and recorded some footage before It,12/23/2020
11/27/2020 16:00,Stockton,CA,Sphere,45 seconds,Driving down the road with my wife and I spotted a silver sphere ahead of us. I pulled out my phone and recorded some footage before It,12/23/2020
11/27/2020 16:00,Stockton,CA,Sphere,45 seconds,Driving down the road with my wife and I spotted a silver sphere ahead of us. I pulled out my phone and recorded some footage before It,12/23/2020
11/27/2020 10:44,Elizabeth,CO,,,MADAR Node 34,12/23/2020
11/27/2020 7:37,Springfield,MO,,,MADAR Node 36,12/23/2020
11/27/2020 6:00,Belton raymore,MO,Unknown,1 hr,Red green white Light blinking and twinkling  in sky  hovering about a mile up in clear sky,12/23/2020
11/27/2020 5:00,Rolla,MO,Other,,It was shaped like a boomerang and flying low there were lights in the front and as it passed over we could hear a humming noise,12/23/2020
11/27/2020 4:00,Eden,ID,Light,Over 1hour,Bright object hovering for more than a hour direction East of my house,12/23/2020
11/27/2020 3:30,Layton,UT,Other,2mins,Anti gravity no visible thrust and no sound it had to weigh in the hundreds of tons massive,12/23/2020
11/27/2020 0:50,Eads,TN,,,MADAR Node 32,12/23/2020
11/26/2020 22:45,Miami,FL,Fireball,80 sec,"After our Thanksgiving feast, we decided to sit around the firepit in the backyard,to talk some and catch up. It was my husband and thr",12/23/2020
11/26/2020 22:00,Saint Petersburg,FL,Light,3 minutes,Bright Red/Orange pulsating orb above the tree line.,12/23/2020
11/26/2020 21:00,London,,,1 second,"I was looking at the stars as I smoked a cigarette and saw a strange flash of light. It wasnâ€™t coming down like a shooting star, it was",12/23/2020
11/26/2020 20:15,Olathe,KS,Fireball,3 minutes,Driving home from work and saw one fireball. Watched for about a minute and it disappeared.  Drove home about a minute away and looked,12/23/2020
11/26/2020 20:05,Phoenix,CA,Circle,8 mins,Nine lights moving eastbound (before dimming) across Phoenix sky.,12/23/2020
11/26/2020 20:00,Irving,TX,Light,8 minutes,3 red/orange objects rapidly move across the sky near Dallas on Thanksgiving eve,12/23/2020
11/26/2020 20:00,Fredericksburg,VA,Light,30mins,"I was out in my back yard walking the dog around 8:00pm. The moon is bright and it's a clear night, I can see the stars every well. I'm",12/23/2020
11/26/2020 18:00,Denver,CO,Light,6 hours,Light's looking like stars moving in a circle formation lasting all night to high to be a drown and to low to be a star.. blinking mult,12/23/2020
11/26/2020 5:30,Lubbock,TX,Changing,18mins,I had gone to the kitchen to get a drink of water and noticed that it was bright outside (it was 530 in the morning and should have bee,12/23/2020
11/26/2020 5:15,Borrego Springs,CA,Other,5 minutes,Long string of lights moving across the early morning sky above a mountain ridge,12/23/2020
11/26/2020 3:26,Hanover,MD,,,MADAR Node 77,12/23/2020
11/26/2020 3:00,Arvada,CO,Other,30 seconds,"Hemishphere that looked like the moon at first, but appeared to be 4x larger and sideways on 64th ave in arvada. Retreated into the sky",12/23/2020
11/26/2020 1:34,Webster Springs,WV,Disk,15 minutes,Unexplained craft rising from the side of the mountain.,12/23/2020
11/26/2020 0:00,Pollock,LA,Changing,2 hours,Bright orange orb stalking my farm. We have had 4 incidents. It changes shape and colors as well as comes all hours.,12/23/2020
11/26/2020,Pollock,LA,Changing,2 hours,"Update with proof and recordings and pics!  I was @ 455-515am walking to my deer stand in my back pasture, not paying attention to the",12/23/2020
11/25/2020 23:24,Sartell,MN,Circle,13 seconds,Circular Light pulsing in northern part of sky with duration of approx 13 seconds.,12/23/2020
11/25/2020 22:00,Orlando,FL,Fireball,10 mins,Orlando FireBall 2020,12/23/2020
11/25/2020 22:00,Carson City,NV,Light,Unknown,We were driving on 5th St coming off of Fairview just as we got over the bridge just right after the old barn in the big field in the r,12/23/2020
11/25/2020 21:30,Hampton,AR,Light,10 min,There was a white light to the southwest looking towards union County that flickered and zig zagged right above tree line of our pastur,12/23/2020
11/25/2020 19:45,Outlook,WA,Oval,4sec,I saw this oddly shaped silver white object falling at a 45 degree angle then a 90 left turn shoot a blue torch flame an fucking gone,12/23/2020
11/25/2020 17:45,South Hempstead,NY,Triangle,8 minutes,"Green, red and white lights on and off on the craft. Was moving slow st first, then would speed up super fast, and at the end of my blo",12/23/2020
11/25/2020 17:30,Covington,GA,Unknown,20 minutes,"Unidentifiable flying objects hovering than moving in one direction, either saucer, triangle, or diamond shaped.",12/23/2020
11/25/2020 17:30,Covington,GA,Unknown,20 minutes,"Unidentifiable flying objects hovering than moving in one direction, either saucer, triangle, or diamond shaped.",12/23/2020
11/25/2020 17:30,Covington,GA,Unknown,20 minutes,"Unidentifiable flying objects hovering than moving in one direction, either saucer, triangle, or diamond shaped.",12/23/2020
11/25/2020 16:00,San Diego,CA,Light,3 Minutes,"I have been followed by lights for a while now, all throughout the US, even when I was in Hawaii and Puerto Rico. I do not always see t",12/23/2020
11/25/2020 6:46,West Chazy,NY,,,MADAR Node 65,12/23/2020
11/25/2020 6:17,Tucson,AZ,Formation,2 minutes,At this time I went outside with my dogs and I looked at the sky when I saw a weird light formation along the sky looked like a tail of,12/23/2020
11/25/2020 6:16,Phoenix,AZ,Cigar,5 minutes,Phoenix UFO near sky harbor,12/23/2020
